smiles,similarity_score,prediction,final_score
COc1cc2c(cc1OC)C1C(=O)c3c(O)cc4c(c3OC1CO2)C=CC(C)(C)O4,0.1111111111111111,0.9769889,0.10855432222222222
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I,0.12280701754385964,0.8838741,0.10854594210526315
CC(=O)Oc1cccc(C)c1,0.11363636363636363,0.9546203,0.10847957954545454
CC(=O)OC1CCC2(C)C(CCC3(C)C2CC=C2C4CC(C)(C)CCC4(C)CCC23C)C1(C)C,0.11764705882352941,0.92145205,0.10840612352941176
CCC(C(N)=O)N1CCCC1=O,0.10416666666666667,1.0396298,0.10829477083333333
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,0.10666666666666667,1.0150428,0.10827123200000001
CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,0.10256410256410256,1.0556253,0.10826926153846153
CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,0.10256410256410256,1.0553573,0.10824177435897436
O=C(O)C=C(CC(=O)O)C(=O)O,0.10256410256410256,1.0552378,0.10822951794871795
CC(C)Cc1ccc(C(C)C(=O)O)cc1,0.1111111111111111,0.9739096,0.10821217777777778
CCC(C)C(=O)OC1CCC=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,0.10526315789473684,1.0278885,0.1081987894736842
CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,0.10526315789473684,1.0277351,0.10818264210526314
CC(C=CC1(O)C(C)=CC(=O)CC1(C)C)=CC(=O)O,0.10714285714285714,1.0093621,0.10814593928571427
CC(=O)OC1CCC2(C)C(CCC3(C)C2CC=C2C4CC(C)(C)CCC4(C(=O)O)CCC23C)C1(C)C,0.11267605633802817,0.9596487,0.1081294309859155
CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,0.10714285714285714,1.0084321,0.10804629642857143
CC1OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C(O)C1O,0.1111111111111111,0.9723508,0.10803897777777777
CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(CO)C5CCC43C)C2C1,0.11428571428571428,0.9449632,0.10799579428571428
COc1cc(O)ccc1C(C)=O,0.1111111111111111,0.97166866,0.10796318444444443
CC(=O)OC1CCC2(C)C(CCC3C4CC=C(C(C)=O)C4(C)CCC32)C1,0.109375,0.98680973,0.10793231421875
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,0.10526315789473684,1.0247355,0.1078668947368421
COC(=O)CC1C(C)(C)C(=O)C2CC3=C4CC(=O)OC(c5ccoc5)C4(C)CCC3C1(C)C2=O,0.10126582278481013,1.064118,0.10775878481012657
CC1OC(OC2C(Oc3cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc4c3)OC(CO)C(O)C2O)C(O)C(O)C1O,0.10256410256410256,1.049975,0.10768974358974359
CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,0.10526315789473684,1.0229708,0.10768113684210526
CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,0.10526315789473684,1.0225255,0.10763426315789473
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C(F)(F)F,0.11666666666666667,0.9223851,0.10761159499999999
CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,0.10714285714285714,1.0035048,0.10751837142857142
O=C(NCCCN1CCOCC1)c1ccc(Cl)cc1,0.10714285714285714,1.0030091,0.10746526071428572
CC(=O)Oc1cccc(O)c1,0.11363636363636363,0.9453614,0.10742743181818182
CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,0.1111111111111111,0.96612453,0.10734716999999999
CNC(=O)CSP(=S)(OC)OC,0.1111111111111111,0.9658434,0.10731593333333334
CC(C)=CCC1=C(O)C(=O)c2ccccc2C1=O,0.10204081632653061,1.0516304,0.10730922448979593
O.O=C(O)C1C(O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC21,0.10144927536231885,1.0573496,0.1072673507246377
CC(=O)O[Hg]c1ccccc1,0.11904761904761904,0.89899254,0.10702292142857142
O=C(CCBr)N1CCN(C(=O)CCBr)CC1,0.10256410256410256,1.0432415,0.10699912820512819
CCOC(=O)CC(=O)N1CCSC1COc1ccccc1OC,0.1076923076923077,0.99338454,0.10697987353846154
COc1cc(C(C)=O)ccc1O,0.1111111111111111,0.96250105,0.1069445611111111
NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O.O=S(=O)(O)O,0.13114754098360656,0.81488013,0.10686952524590165
NCC(=O)NCC(=O)O,0.10256410256410256,1.0413224,0.10680229743589745
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COP(=O)([O-])[O-].CC[NH+](CC)CC.CC[NH+](CC)CC,0.09876543209876543,1.0802294,0.10668932345679011
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,0.11320754716981132,0.9416427,0.1066010603773585
C[N+](C)(C)CC(=O)[O-].Cl,0.10810810810810811,0.9858622,0.1065796972972973
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,0.10256410256410256,1.0382477,0.1064869435897436
CC(=O)OC1CCC2(C)C(CCC3C2CCC2(C)C(C4=CC(=O)OC4)C(OC(C)=O)CC32O)C1,0.10526315789473684,1.0108969,0.10641020000000001
CCCC(=O)OC1(C(=O)CO)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,0.10526315789473684,1.0106889,0.10638830526315787
C[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2.[Br-],0.10714285714285714,0.9921445,0.10630119642857142
COc1ccc2c(c1)OCC(Cc1ccc(OC)c(O)c1)C2=O,0.1111111111111111,0.95550627,0.10616736333333332
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,0.10344827586206896,1.0259496,0.10613271724137929
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,0.10344827586206896,1.0256754,0.10610435172413792
CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1.O=C(O)C(=O)O,0.10810810810810811,0.97932786,0.10587328216216217
CC(=O)CCc1ccc(OC(C)=O)cc1,0.10869565217391304,0.97392225,0.10586111413043478
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3o2)cc1,0.09876543209876543,1.07146,0.10582320987654321
CC(=O)OCC(=O)NCCCOc1cccc(CN2CCCCC2)c1.Cl,0.10294117647058823,1.0271723,0.105738325
COc1ccc2c(c1)OCC(Cc1ccc(O)c(OC)c1)C2=O,0.1111111111111111,0.95139253,0.10571028111111111
CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C,0.10294117647058823,1.026742,0.1056940294117647
CC1CC2C(C(O)CC3(C)C2CCC3(O)C(=O)COC(=O)CCC(=O)[O-])C2(C)C=CC(=O)C=C12.[Na+],0.0975609756097561,1.0831629,0.1056744292682927
COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,0.10869565217391304,0.9716682,0.10561610869565217
CC(=O)OCC(=O)C1(OC(C)=O)C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,0.10256410256410256,1.0297422,0.10561458461538462
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,0.1111111111111111,0.9498565,0.1055396111111111
O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1,0.1111111111111111,0.9489442,0.10543824444444444
O=C(O)C1C(=CCO)OC2CC(=O)N21.[LiH],0.11320754716981132,0.9309905,0.10539515094339623
Cc1onc(-c2ccccc2)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-].[Na+],0.1095890410958904,0.96152,0.10537205479452055
CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2.CS(=O)(=O)O,0.10909090909090909,0.9656321,0.10534168363636363
CCOC(=O)c1c(C)c(Cl)c(O)c(Cl)c1O,0.10638297872340426,0.9897666,0.10529431914893618
CC(=O)OC1(C(C)=O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC21C,0.1044776119402985,1.0067058,0.10517821791044775
Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)C(C)CO1,0.10526315789473684,0.9991835,0.10517721052631579
CC(=O)OC1CC(OC(C)=O)C2(C)C(CC(OC(C)=O)C3(C)C2CCC2(C)C(c4ccoc4)C(=O)C4OC423)C1(C)C,0.1038961038961039,1.0106515,0.10500275324675326
Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,0.1095890410958904,0.9571654,0.10489483835616438
CC(=O)OC1CC(OC(C)=O)C2(C)C(CC(OC(C)=O)C3(C)C4=CC(=O)OC(c5ccoc5)C4(C)CCC32)C1(C)C,0.10526315789473684,0.9960171,0.10484390526315789
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,0.10294117647058823,1.0179852,0.10479259411764706
COC(=O)c1c(C)c2c(c(C)c1OC)OC(=O)c1c(C)c(Cl)c(OC)c(Cl)c1O2,0.10344827586206896,1.0126578,0.10475770344827585
CC(C(=O)O)c1ccc2c(c1)CC(=O)c1ccccc1S2,0.1016949152542373,1.0299771,0.1047434338983051
CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,0.10606060606060606,0.98739487,0.10472369833333334
COc1ccc2c(c1)C(=O)N(CCc1ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc1)C(=O)C2(C)C,0.09876543209876543,1.0603101,0.10472198518518518
CC(C)(CO)C(O)C(=O)NCCCO,0.10638297872340426,0.9842509,0.1047075425531915
CC(C)NNC(=O)c1ccncc1.O=P(O)(O)O,0.10204081632653061,1.0258008,0.10467355102040818
COC(=O)CC1C(C)(C)C(=O)C2CC3=C(CCC4(C)C3=CC(=O)OC4c3ccoc3)C1(C)C2=O,0.09876543209876543,1.0597745,0.10466908641975309
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,0.10714285714285714,0.97647804,0.10462264714285714
CC(=O)OC1CC(OC(C)=O)C2(C)C(CC(OC(C)=O)C3(C)C2CCC2(C)C(c4ccoc4)OC(=O)C4OC423)C1(C)C,0.10256410256410256,1.0198354,0.10459850256410257
CCNC1CC(C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21.Cl,0.1,1.045847,0.1045847
CC(=O)Oc1ccc(-c2cc(=O)c3c(OC(C)=O)cc(OC(C)=O)cc3o2)cc1,0.10526315789473684,0.99251866,0.10447564842105263
COc1cc(C2c3cc4c(cc3C(OC3OC5COC(c6cccs6)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,0.10989010989010989,0.9506909,0.10447152747252747
CCCCCCCCCCC(C(=O)O)C1(C(=O)O)CCC(=O)O1,0.10714285714285714,0.9746918,0.10443126428571428
O=C(c1cccnc1)N1CCOCC1,0.09803921568627451,1.0649358,0.1044054705882353
O.O=c1ccc2cc(OC3OC(CO)C(O)C(O)C3O)c(O)cc2o1,0.11290322580645161,0.9240567,0.10432898225806451
COc1ccc(-c2cc(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3o2)cc1O,0.1,1.0429978,0.10429978000000001
CCOC(=O)C1=CC2(CC)CCCN3CCc4c(n1c1ccccc41)C32,0.0958904109589041,1.0872138,0.10425337808219177
CC1(C)OC2CC3C4CCC5=CC(=O)CCC5(C)C4(F)C(O)CC3(C)C2(C(=O)CCl)O1,0.1038961038961039,1.0029782,0.10420552727272728
CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,0.10294117647058823,1.0122387,0.10420104264705882
CC1CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(CO)C5C(O)CC43C)C2C1C,0.10666666666666667,0.9767445,0.10418608000000001
C=C1CC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC2(C)C1(OC(C)=O)C(C)=O,0.1,1.040595,0.1040595
CC(=O)OC1CC(OC(C)=O)C2(C)C(CC(=O)C3(C)C2CCC2(C)C(c4ccoc4)OC(=O)C4OC423)C1(C)C,0.10126582278481013,1.0272393,0.1040242329113924
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,0.10666666666666667,0.9751755,0.10401872000000001
CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,0.11,0.9452649,0.103979139
O=c1c(O)cc(C2Oc3cc(O)cc(O)c3CC2O)cc2c(C3Oc4cc(O)cc(O)c4CC3O)cc(O)c(O)c12,0.1076923076923077,0.96527284,0.1039524596923077
CC(=O)OC1CCC2(C)C(CC(OC(C)=O)C3(C)C4=CC(=O)OC(c5ccoc5)C4(C)CCC23)C1(C)C,0.10526315789473684,0.98725134,0.10392119368421053
CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,0.1,1.0382097,0.10382097
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,0.10714285714285714,0.968719,0.10379132142857142
CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c([N+](=O)[O-])c1,0.10344827586206896,1.0030404,0.10376279999999999
Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,0.10714285714285714,0.9683367,0.10375036071428571
CC(=O)OC1CCC2(C)C3=C(CCC2C1(C)C)C1(C)CCC(C(C)CCC=C(C)C)C1(C)CC3,0.1095890410958904,0.94671506,0.10374959561643836
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1Cc2ccccc2CC1C(=O)O,0.1,1.0365878,0.10365878
CCCCC(=O)OC1(C(=O)CO)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,0.1038961038961039,0.99714434,0.10359941194805194
N#CCC(=O)NN,0.10256410256410256,1.009921,0.10358164102564103
Cc1cccc(C)c1NC(=O)c1ccccc1C(=O)O,0.10416666666666667,0.9940767,0.10354965625000001
CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,0.1044776119402985,0.99002266,0.10343520328358209
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1.Cl,0.10227272727272728,1.0101242,0.10330815681818181
